,roc_auc,pca__apply_PCA,pca__n_components,svm__C,svm__class_weight
0,0.6751443541488451,True,0.95,0.21544346900318845,balanced
1,0.6825033124878682,True,0.95,0.21544346900318845,balanced
2,0.6760120963808408,True,0.95,0.21544346900318845,balanced
3,0.626790769613191,True,0.95,0.21544346900318845,balanced
4,0.6656098560648069,True,0.95,0.21544346900318845,balanced
5,0.6857615670381627,True,0.95,0.21544346900318845,balanced
6,0.670468014892095,True,0.95,0.21544346900318845,balanced
7,0.6945894610565603,True,0.95,0.21544346900318845,balanced
8,0.7008551099199132,True,0.95,0.21544346900318845,balanced
9,0.678853775417692,True,0.95,0.21544346900318845,balanced
